arrival_time,event_time,updateId
1692440168060.307,1692440167396,3180680333219
1692440168061.3083,1692440167396,3180680333220
1692440168062.3052,1692440167396,3180680333233
1692440168065.3071,1692440167405,3180680333366
1692440168066.308,1692440167405,3180680333376
1692440168067.3093,1692440167407,3180680333563
1692440168069.3064,1692440167407,3180680333565
1692440168075.0286,1692440167415,3180680333815
1692440168079.7375,1692440167418,3180680333877
1692440168081.7454,1692440167418,3180680333914
1692440168084.748,1692440167418,3180680333948
1692440168093.7473,1692440167433,3180680334317
1692440168106.271,1692440167442,3180680334529
1692440168118.27,1692440167457,3180680334833
1692440168120.2734,1692440167459,3180680334878
1692440168121.2717,1692440167461,3180680334923
1692440168137.2695,1692440167471,3180680335245
1692440168153.27,1692440167491,3180680335631
1692440168158.27,1692440167498,3180680335821
1692440168209.025,1692440167548,3180680337519
1692440168216.1553,1692440167556,3180680337655
1692440168224.158,1692440167564,3180680337830
1692440168232.3384,1692440167573,3180680338003
1692440168240.8384,1692440167581,3180680338178
1692440168249.2903,1692440167588,3180680338443
1692440168250.2866,1692440167588,3180680338447
1692440168258.3071,1692440167598,3180680338576
1692440168259.3113,1692440167598,3180680338580
1692440168261.31,1692440167598,3180680338603
1692440168410.8848,1692440167746,3180680342467
1692440168419.8867,1692440167753,3180680342595
1692440168487.8948,1692440167824,3180680344402
1692440168491.897,1692440167831,3180680344514
1692440168493.895,1692440167831,3180680344581
1692440168495.4067,1692440167831,3180680344589
1692440168497.413,1692440167838,3180680344812
1692440168501.408,1692440167842,3180680344908
1692440168608.9478,1692440167949,3180680346974
1692440168632.946,1692440167972,3180680347561
1692440168639.9465,1692440167980,3180680347737
1692440168659.9468,1692440167994,3180680347999
